작업의뢰명,작업의뢰내용,시스템명,금전대고객구분
대표 플랫폼_고객센터_이달의 우수사원 내림,첨부파일 참조,디지털기획파트,2
대수료 수당환수 전표 프로세스 개선,"전표 데이터 생성시 이체부서 입력 기준 변경 
(사업부코드 &gt; 관할점포코드)",경리부,1
하이플래너 급여 은행 추가,"○ 하이플래너 급여 은행 구분 추가 (경리부 동시작업 예정) 		
     _ 대상 : 토스뱅크",마케팅지원파트,0
적립금반환신청서 팩스신설,팩스기능추가,퇴직연금파트,1
스위칭 취소시 연금전환 확인데 대한 로직 제거,스위칭 취소시 연금전환 확인에 대한 잘못 된 체크로 해당로직 제거 요청,퇴직연금파트,3
심사업무 처리시 총무 직무코드 추가 의뢰,심사업무 처리시 총무 직무코드 추가 의뢰,자동차업무파트,3
4세대 비급여할인할증 안내문 개선(손보협회),4세대 비급여할인할증 안내문 개선(손보협회),장기계약관리부,3
외부홈페이지 세재 개정 반영,"＂ ■ 요청사항
＂							
							
퇴직연금 과세체계 중 퇴직급여 부분 구간 추가 개정에 따른 변경 반영 요청 [붙임1 참고]							
위치: 외부홈페이지 &gt; 퇴직연금가이드 &gt; 제도소개 &gt; 연금가이드							
							
완료예정일 : 2025년 12월 31일",퇴직연금파트,2
하이콜 WFM 긴출코드관리 동기화 배치 개선,_ 하이콜 WFM 긴출코드관리 동기화 배치 개선,고객서비스지원팀,0
2025_08_21 보상포탈&PRM WIN11 업데이트 버전 배포,"1) 대상시스템 : 보상포탈		
	2) 사용자 : 자동차 보상 대인/대물 전체 ( 약 1200명)		
	3) 배포버전 : 이전 배포 버전 _&gt; update 배포버전 5.75.105		
	3) PRM 도 동시 진행",자동차보상지원파트,0
2025_2_4 (간접)대차료 계산기 날짜입력시 입력 탭 자동변경,"▷ 제목 : 간접탭 기간입력시 다음탭으로 자동 변경							
▷ 내용 : 간접손해지급(CLMD0161U ) 화면에서 날짜입력시 해당칸에 부여된 숫자를 전부 입력하면 다음 칸으로 자동 탭 전환",자동차보상지원파트,1
250313_주택화재보험 특수건물 관련 동일화 작업(PC),"250313_주택화재보험 특수건물 관련 동일화 작업(PC)
_ 16층이상 특수건물 해당 시 자동체크 요건 PC버전에도 동일화",CM웹운영팀,2
