작업의뢰명,작업의뢰내용,시스템명,금전대고객구분
S포탈 PUSH정보 및 발송정보 DB테이블 데이터 정비 배치 개발, ,Hi-S포탈(HI-sPortal),3
대표 플랫폼_신용대출_하이플래너_수당이체_불가팝업,첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_관리자_인증통계서비스코드추가적용,관리자 인증통계 관련 신규 인증서비스 코드(KCB등) 추가,홈페이지시스템_대표홈페이지관리자(HI-HHADMIN),3
[MDS] 본인인증 건수 데이터 DB 저장기한 로직 변경,인증건수 데이터 축적을 위한 개선 작업입니다. 6개월 제한 로직 삭제 요청드립니다.,MDS시스템_공통(MD_ZZ),3
하이헬스챌린지 포인트 안내 문구 수정,업무기술서 참고,하이헬스챌린지 앱(HHC_HP),3
[대표 플랫폼] 빠른 로그인 화면 이미지 변경_개발,빠른 로그인 화면 변경 개발 의뢰 건입니다.,홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_보험계약대출 우대할인금리 적용 관련 약정서 양식 변경(개발),첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
보험금 청구 파일 업로드 ID없는 경우 접수 불가 I/F ,"1. 내용			
_  보험금 청구 파일 업로드 ID없는 경우 접수 불가 I/F 			
			
2. 작업완료일			
    _2025. 12. 9(화)			",홈페이지시스템_대표홈페이지(HI-HH),3
대표플랫폼_26년 스플래시 반영,대표플랫폼 &gt; 스플래시 &gt; 70주년 로고 제거 ,홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_고장출동_단기계약_횟수제한조치,첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_자동차_계약조회_가입경력인정자 제거,첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_kcb실명확인서비스 추가적용,실명확인 서비스사 변경에 따른 사용업무 추가 적용건,홈페이지시스템_대표홈페이지(HI-HH),3
(20251202)(대표플랫폼)_운영개선_개인정보이용제공내역조회 화면개선,"개인정보이용제공내역통지관련 통지시 조회링크 화면 (비회원로그인 조회 수정) 및 문구변경
: 정보보호파트 요청사항 반영",홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_1월 대출금리 변경 사항 홈페이지/앱 반영,첨부파일 참조,홈페이지시스템_대표홈페이지(HI-HH),3
완전판매e모니터링 다국어지원 서비스 개발,.,홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_소비자포탈_고객불편주요사례 내용 업데이트(개발),첨부파일 참조 ,홈페이지시스템_대표홈페이지(HI-HH),3
[개발] 대표플랫폼 창립70주년 엠블럼 노출 제거 요청,"대표플랫폼 창립70주년 엠블럼 노출 제거 요청
_ 회사소개 메인 TOP 영역 수정 및 롤링기능 제거",홈페이지시스템_대표홈페이지(HI-HH),3
251226_보호금융상품부 등록,.,홈페이지시스템_대표홈페이지(HI-HH),3
고객관리 모니터링 문항 및 답변 변경,차년도 운영안 변경에 따라 모니터링 문항 및 답변 변경,홈페이지시스템_대표홈페이지(HI-HH),3
중국어 서체 적용 방식 개선,.,홈페이지시스템_대표홈페이지(HI-HH),3
작업의뢰_앱 초화면 로고 변경 작업_안드로이드,업무기술서 참조바랍니다. ,하이헬스챌린지 앱(HHC_HP),3
작업의뢰_하이헬스챌린지 미션수행내역 무결성 보완,업무기술서 참조 바랍니다. ,하이헬스챌린지 앱(HHC_HP),3
작업의뢰_하이헬스챌린지 개인정보파기 일배치기간 수정,업무기술서 참조 바랍니다. ,하이헬스챌린지 배치(HHC_HB),3
여행자 보험 영문 증권 발급 시 영문명 최신화 및 보험 종목 추가,"1. 내용			
_  여행자 보험 영문 증권 발급 보험 종목 추가			
			
2. 작업완료일			
    _2025. 12. 2(화)			
",홈페이지시스템_대표홈페이지(HI-HH),3
계약체결을 위한 전자서명_장기_서비스 중단,.,홈페이지시스템_대표홈페이지(HI-HH),3
[개발] 대표플랫폼 마이페이지 ‘MyFit‘ 수정 요청 ,"마이페이지 ‘MyFit‘ 서비스 수정사항 반영
_ GA4 코드 수정, 바텀메뉴 아이콘 변경
_ 만기안내 링크 파라미터값 수정",홈페이지시스템_대표홈페이지(HI-HH),3
대표플랫폼 디자인2.0개편_iOS,대표플랫폼 모바일 앱 아이콘 디자인 2..0변경 &gt; ios,홈페이지시스템_대표홈페이지(HI-HH),3
대표플랫폼 디자인 2.0개편_Android,디자인 2.0 모바일 앱 아이콘 디자인 변경,홈페이지시스템_대표홈페이지(HI-HH),3
하이헬스챌린지 회원가입 로직 개선,업무기술서 참고,하이헬스챌린지 앱(HHC_HP),3
하이헬스챌린지 PIN번호 설정 로직 개선,업무기술서 참고,하이헬스챌린지 앱(HHC_HP),3
직영홈페이지 하이콜운전자 팝업문구 변경요청,직영홈페이지 하이콜운전자 팝업문구 변경요청,홈페이지시스템_대표홈페이지(HI-HH),3
하이헬스챌린지 관리자페이지 일련번호 노출 추가,업무기술서 참고,하이헬스챌린지 관리자(HHC_HA),3
(대표플랫폼)_운영개선_kcb실명확인서비스적용(계약체결관리),계약체결관리관련 실명확인 신규업체(kcb) 변경 적용건,홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_kcb 휴대폰본인확인 연동전문 및 동의 화면 개발,"(대표플랫폼)_운영개선_kcb 휴대폰본인확인 연동전문 및 동의 화면 개발
휴대폰본인확인 서비스 이중화에 따른 인증서비스사 추가(kcb)관련 개발",홈페이지시스템_대표홈페이지(HI-HH),3
(대표플랫폼)_운영개선_전자금융거래회원가입프로세스개선,"대표플랫폼 전자금융거래회원가입프로세스 개선
가입시 단체상해보험 고객 이력 확인 추가",홈페이지시스템_대표홈페이지(HI-HH),3
대표 플랫폼_12월 대출금리 변경 사항 홈페이지/앱 반영,첨부파일 참조,홈페이지시스템_대표홈페이지(HI-HH),3
보장분석_신정원 타사 정보 7일 이내 재조회 불가에 따른 안내 문구 추가,.,홈페이지시스템_대표홈페이지(HI-HH),3
완전판매e모니터링 다국어지원 서비스 개발,.,홈페이지시스템_대표홈페이지(HI-HH),3
